00:47:53.056 febs [SessionValidationThread-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - Validating all active sessions...
01:03:23.211 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voteTopicOption/update]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.TbDVoteTopicOptionsController.updateUser(com.xsz.vote.domain.VoteTopicOption)
01:03:23.211 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voteTopicOption/csv]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.TbDVoteTopicOptionsController.VoteTopicOptionCsv(com.xsz.vote.domain.VoteTopicOption)
01:03:23.212 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voteTopicOption/list]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.xsz.vote.controller.TbDVoteTopicOptionsController.VoteTopicOptionList(com.xsz.common.domain.QueryRequest,com.xsz.vote.domain.VoteTopicOption)
01:03:23.212 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voteTopicOption/add]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.TbDVoteTopicOptionsController.addVoteTopicOption(com.xsz.vote.domain.VoteTopicOption)
01:03:23.212 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voteTopicOption/delete]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.TbDVoteTopicOptionsController.deleteVoteTopicOptions(java.lang.String)
01:03:23.212 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voteTopicOption/excel]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.TbDVoteTopicOptionsController.VoteTopicOptionExcel(com.xsz.vote.domain.VoteTopicOption)
01:03:23.213 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voteTopicOption/getVoteTopicOption]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.TbDVoteTopicOptionsController.getVoteTopicOption(java.lang.Long)
01:03:23.215 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/vote]}" onto public java.lang.String com.xsz.vote.controller.VoteController.index(org.springframework.ui.Model)
01:03:23.216 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/vote/list]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.xsz.vote.controller.VoteController.voteList(com.xsz.common.domain.QueryRequest,com.xsz.vote.domain.Vote)
01:03:23.216 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/vote/excel]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.VoteController.voteExcel(com.xsz.vote.domain.Vote)
01:03:23.216 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/vote/csv]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.VoteController.voteCsv(com.xsz.vote.domain.Vote)
01:03:23.216 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/vote/delete]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.VoteController.deleteVotes(java.lang.String)
01:03:23.216 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/vote/add]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.VoteController.addVote(com.xsz.vote.domain.Vote)
01:03:23.216 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/vote/getVote]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.VoteController.getVote(java.lang.Long)
01:03:23.217 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/vote/update]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.VoteController.updateUser(com.xsz.vote.domain.Vote)
01:03:23.218 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/vote/voteButtonTree]}" onto public com.xsz.common.domain.ResponseBo com.xsz.vote.controller.VoteController.getVoteButtonTree()
01:03:23.221 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voteVO/list]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.xsz.vote.controller.VoteVOController.voteList(com.xsz.common.domain.QueryRequest,com.xsz.vote.domain.Vote)
01:03:23.223 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voteVO]}" onto public java.lang.String com.xsz.vote.controller.VoteVOController.voteIndex(org.springframework.ui.Model)
01:03:23.223 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article]}" onto public java.lang.String com.xsz.web.controller.ArticleController.index()
01:03:23.224 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/query]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.ArticleController.queryArticle(java.lang.String)
01:03:23.224 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/movie/comments]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.MovieController.getComments(java.lang.String)
01:03:23.225 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/movie/detail]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.MovieController.getDetail(java.lang.String)
01:03:23.225 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/movie/coming]}" onto public java.lang.String com.xsz.web.controller.MovieController.movieComing()
01:03:23.225 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/movie/getMovieHot]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.MovieController.getMoiveHot()
01:03:23.225 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/movie/hot]}" onto public java.lang.String com.xsz.web.controller.MovieController.movieHot()
01:03:23.226 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/movie/getMovieComing]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.MovieController.getMovieComing()
01:03:23.226 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/one/painting]}" onto public java.lang.String com.xsz.web.controller.OneIsAllController.paintIndex()
01:03:23.227 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/one/yuwenComments]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.OneIsAllController.getYuwenComments(java.lang.String)
01:03:23.227 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/one/essayDetail]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.OneIsAllController.getEssayDetail(java.lang.String,java.lang.String)
01:03:23.227 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/one/essay]}" onto public java.lang.String com.xsz.web.controller.OneIsAllController.essayIndex()
01:03:23.227 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/one/oneList]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.OneIsAllController.getOneList()
01:03:23.227 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/one/yuwenDetail]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.OneIsAllController.getYuwenDetail(java.lang.String,java.lang.String)
01:03:23.227 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/one/essayComments]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.OneIsAllController.getEssayComments(java.lang.String)
01:03:23.227 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/one/yuwen]}" onto public java.lang.String com.xsz.web.controller.OneIsAllController.yuwenIndex()
01:03:23.228 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/one/readingList]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.OneIsAllController.getReadingList()
01:03:23.229 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/weather]}" onto public java.lang.String com.xsz.web.controller.WeatherController.weather()
01:03:23.229 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/weather/query]}" onto public com.xsz.common.domain.ResponseBo com.xsz.web.controller.WeatherController.queryWeather(java.lang.String)
01:03:23.230 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/v2/api-docs],methods=[GET],produces=[application/json || application/hal+json]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)
01:03:23.232 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/swagger-resources/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()
01:03:23.233 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/swagger-resources]}" onto org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources()
01:03:23.233 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/swagger-resources/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
01:03:23.235 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
01:03:23.236 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
01:03:23.823 febs [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService  'taskExecutor'
01:03:23.982 febs [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
01:03:24.322 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@4d910fd6: startup date [Tue Jun 23 01:03:08 CST 2020]; root of context hierarchy
01:03:24.397 febs [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
01:03:24.397 febs [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
01:03:24.397 febs [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/images/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
01:03:24.417 febs [main] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in globalExceptionHandler
01:03:24.417 febs [main] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in controllerExceptionHandler
01:03:24.547 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
01:03:25.241 febs [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
01:03:25.243 febs [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'statFilter' has been autodetected for JMX exposure
01:03:25.244 febs [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
01:03:25.254 febs [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.spring.boot.autoconfigure:name=dataSource,type=DruidDataSourceWrapper]
01:03:25.265 febs [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'statFilter': registering with JMX server as MBean [com.alibaba.druid.filter.stat:name=statFilter,type=StatFilter]
01:03:25.278 febs [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
01:03:25.279 febs [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
01:03:25.449 febs [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
01:03:25.493 febs [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
01:03:26.087 febs [main] INFO  o.s.s.quartz.SchedulerFactoryBean - Will start Quartz Scheduler [MyScheduler] in 1 seconds
01:03:26.095 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9020"]
01:03:26.107 febs [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
01:03:26.123 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9020 (http) with context path ''
01:03:26.126 febs [main] INFO  com.xsz.Application - Started Application in 19.595 seconds (JVM running for 21.19)
01:03:26.129 febs [main] INFO  c.x.c.r.ApplicationStartupRunner - XSZ 权限系统启动完毕，地址：http://192.168.3.30:9020
01:03:27.088 febs [Quartz Scheduler [MyScheduler]] INFO  o.s.s.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now, after delay of 1 seconds
01:03:27.356 febs [Quartz Scheduler [MyScheduler]] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
01:03:27.356 febs [Quartz Scheduler [MyScheduler]] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "DESKTOP-5G79DEK1592833563838"'s failed in-progress jobs.
01:03:28.454 febs [Quartz Scheduler [MyScheduler]] INFO  org.quartz.core.QuartzScheduler - Scheduler MyScheduler_$_DESKTOP-5G79DEK1592845400749 started.
01:03:29.298 febs [http-nio-9020-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
01:03:29.298 febs [http-nio-9020-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
01:03:29.320 febs [http-nio-9020-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 22 ms
01:03:29.339 febs [http-nio-9020-exec-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - Enabling session validation scheduler...
01:04:19.817 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句Id】>>>> com.xsz.system.dao.UserMapper.selectByExample
01:04:19.817 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句耗时】>>>> 104 ms
01:04:19.817 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句】>>>> SELECT USER_ID,USERNAME,PASSWORD,DEPT_ID,EMAIL,MOBILE,STATUS,CRATE_TIME,MODIFY_TIME,LAST_LOGIN_TIME,SSEX,THEME,AVATAR,DESCRIPTION FROM t_user WHERE ( ( lower(username)= 'admin' ) )
01:04:19.857 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句Id】>>>> com.xsz.system.dao.UserMapper.updateByExampleSelective
01:04:19.857 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句耗时】>>>> 15 ms
01:04:19.857 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句】>>>> UPDATE t_user SET STATUS = '1',LAST_LOGIN_TIME = '2020-6-23 1:04:19' WHERE ( ( lower(username)= 'admin' ) )
01:04:20.478 febs [asyncTaskExecutor-1] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句Id】>>>> com.xsz.system.dao.LogMapper.insert
01:04:20.478 febs [asyncTaskExecutor-1] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句耗时】>>>> 270 ms
01:04:20.478 febs [asyncTaskExecutor-1] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句】>>>> INSERT INTO t_log ( ID,USERNAME,OPERATION,TIME,METHOD,PARAMS,IP,CREATE_TIME,LOCATION ) VALUES( 2756,'admin','访问系统',1,'com.xsz.system.controller.LoginController.index()','user: "User{userId=167, username='admin', password='8b9196ebe9f537da256b424f1fc93041', deptId=1, deptName='null', email='', mobile='', status='1', crateTime=Fri May 29 22:02:05 CST 2020, modifyTime=null, lastLoginTime=Mon Jun 22 21:48:01 CST 2020, ssex='0', theme='green', avatar='default.jpg', description='null', roleName='null'}"  org.springframework.validation.BindingResult.user: "org.springframework.validation.BeanPropertyBindingResult: 0 errors"','127.0.0.1','2020-6-23 1:04:20','内网IP|0|0|内网IP|内网IP' )
01:04:23.430 febs [http-nio-9020-exec-1] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句Id】>>>> com.xsz.system.dao.MenuMapper.findUserMenus
01:04:23.431 febs [http-nio-9020-exec-1] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句耗时】>>>> 1031 ms
01:04:23.431 febs [http-nio-9020-exec-1] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句】>>>> select m.* from t_menu m where m.type <> 1 and m.MENU_ID in (select distinct rm.menu_id from t_role_menu rm left join t_role r on(rm.role_id = r.role_id) left join t_user_role ur on(ur.role_id = r.role_id) left join t_user u on (u.user_id = ur.user_id) where u.username = 'admin') order by m.create_time
01:04:35.892 febs [http-nio-9020-exec-4] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句Id】>>>> com.xsz.system.dao.RoleMapper.findUserRole
01:04:35.892 febs [http-nio-9020-exec-4] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句耗时】>>>> 2 ms
01:04:35.892 febs [http-nio-9020-exec-4] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句】>>>> select r.* from t_role r left join t_user_role ur on(r.role_id = ur.role_id) left join t_user u on(u.user_id = ur.user_id) where u.username = 'admin'
01:04:35.896 febs [http-nio-9020-exec-4] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句Id】>>>> com.xsz.system.dao.MenuMapper.findUserPermissions
01:04:35.896 febs [http-nio-9020-exec-4] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句耗时】>>>> 3 ms
01:04:35.896 febs [http-nio-9020-exec-4] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句】>>>> select m.perms from t_role r left join t_user_role ur on(r.role_id = ur.role_id) left join t_user u on(u.user_id = ur.user_id) left join t_role_menu rm on(rm.role_id = r.role_id) left join t_menu m on(m.menu_id = rm.menu_id ) where u.username = 'admin' and m.perms is not null and m.perms <> ''
01:04:36.149 febs [http-nio-9020-exec-5] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句Id】>>>> com.xsz.vote.dao.VoteMapper.selectByExample
01:04:36.150 febs [http-nio-9020-exec-5] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句耗时】>>>> 147 ms
01:04:36.150 febs [http-nio-9020-exec-5] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句】>>>> SELECT ID,TITLE,VOTECOUNT,DEADLINETIME,ISALL,HEADCONTENT,FOOTERCONTENT,ALLOWSHOWRESULT,ALLOWANONYMAT,FROMUSERID,REMARKS,DELMARK,CREATETIME,MODIFYTIME,CREATEUSERID,STATUS,MODIFYUSERID,TO_USER,TO_PARTY,TO_TAG,PIC_URL,VOTEURL FROM tb_d_vote order by CREATETIME
01:04:36.423 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句Id】>>>> com.xsz.vote.dao.VoteMapper.findVoteVOs_COUNT
01:04:36.426 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句耗时】>>>> 211 ms
01:04:36.426 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句】>>>> select a.title as voteName, b.title as topicName, c.`OPTIONS` as 'option', b.`KINDS` as kinds, a.`STATUS` as status, a.`CREATETIME` as createtime, a.`ID` as voteId, b.`ID` as voteTopicId, c.`ID` as optionId from tb_d_vote a left join tb_d_vote_topic b on (a.`ID`=b.`VOTEID`) left join tb_d_vote_topic_options c on (c.`TOPICID`=b.id) where a.`STATUS`=1
01:04:36.448 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句Id】>>>> com.xsz.vote.dao.VoteMapper.findVoteVOs
01:04:36.448 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句耗时】>>>> 21 ms
01:04:36.448 febs [http-nio-9020-exec-7] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句】>>>> select a.title as voteName, b.title as topicName, c.`OPTIONS` as 'option', b.`KINDS` as kinds, a.`STATUS` as status, a.`CREATETIME` as createtime, a.`ID` as voteId, b.`ID` as voteTopicId, c.`ID` as optionId from tb_d_vote a left join tb_d_vote_topic b on (a.`ID`=b.`VOTEID`) left join tb_d_vote_topic_options c on (c.`TOPICID`=b.id) where a.`STATUS`=1
01:04:36.698 febs [asyncTaskExecutor-2] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句Id】>>>> com.xsz.system.dao.LogMapper.insert
01:04:36.698 febs [asyncTaskExecutor-2] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句耗时】>>>> 245 ms
01:04:36.698 febs [asyncTaskExecutor-2] INFO  c.x.c.i.SqlStatementInterceptor - 【SQL语句】>>>> INSERT INTO t_log ( ID,USERNAME,OPERATION,TIME,METHOD,PARAMS,IP,CREATE_TIME,LOCATION ) VALUES( 2757,'admin','获取投票项目信息',281,'com.xsz.vote.controller.VoteVOController.voteList()','request: "QueryRequest{pageSize=10, pageNum=1}"  vote: "com.xsz.vote.domain.Vote@7b123896"','127.0.0.1','2020-6-23 1:04:36','内网IP|0|0|内网IP|内网IP' )
15:05:32.199 febs [main] INFO  com.xsz.Application - Starting Application on DESKTOP-O8N6G3A with PID 18052 (started by admin in D:\综合测试\WP\springbootbookcode)
15:05:32.230 febs [main] INFO  com.xsz.Application - No active profile set, falling back to default profiles: default
15:05:32.432 febs [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5717c37: startup date [Tue Jun 23 15:05:32 CST 2020]; root of context hierarchy
15:05:34.605 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
15:05:35.245 febs [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - Post-processing PropertySource instances
15:05:35.368 febs [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
15:05:35.371 febs [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
15:05:35.371 febs [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
15:05:35.372 febs [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemProperties [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
15:05:35.372 febs [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper
15:05:35.372 febs [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
15:05:35.372 febs [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource applicationConfig: [classpath:/application.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
15:05:35.488 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'asyncExecutorPoolConfig' of type [com.xsz.common.config.AsyncExecutorPoolConfig$$EnhancerBySpringCGLIB$$f37f255e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:05:35.587 febs [main] INFO  c.u.j.f.DefaultLazyPropertyFilter - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
15:05:35.602 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration' of type [com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:05:35.685 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.context.properties.ConversionServiceDeducer$Factory' of type [org.springframework.boot.context.properties.ConversionServiceDeducer$Factory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:05:35.841 febs [main] INFO  c.u.j.r.DefaultLazyPropertyResolver - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
15:05:35.844 febs [main] INFO  c.u.j.d.DefaultLazyPropertyDetector - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
15:05:35.861 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.druid-com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties' of type [com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:05:35.874 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'advisor' of type [org.springframework.aop.support.RegexpMethodPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:05:35.892 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.xsz.common.config.RedisConfig$$EnhancerBySpringCGLIB$$1dbae92e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
